No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-31 03:53:15,121.629,23.8255,4,36.2,23.83N 121.63E, i.e. 18.3 km S of Hualien County(23.83N 121.63E, i.e. 18.3 km S of Hualien County)
Small area,2024-05-31 00:06:09,121.614,23.814,3.9,33.2,23.81N 121.61E, i.e. 19.6 km S of Hualien County(23.81N 121.61E, i.e. 19.6 km S of Hualien County)
409   ,2024-05-30 23:52:17,121.649,23.963,5,37.5,23.96N 121.65E, i.e. 4.3 km SE of Hualien County(23.96N 121.65E, i.e. 4.3 km SE of Hualien County)
Small area,2024-05-30 20:09:50,121.67,24.175,4.5,32.3,24.18N 121.67E, i.e. 21.0 km NNE of Hualien County(24.18N 121.67E, i.e. 21.0 km NNE of Hualien County)
408   ,2024-05-30 09:11:39,121.651,24.1917,5.3,32.3,24.19N 121.65E, i.e. 22.4 km N of Hualien County(24.19N 121.65E, i.e. 22.4 km N of Hualien County)
407   ,2024-05-30 07:54:45,121.754,24.0015,5.3,26.7,24.00N 121.75E, i.e. 13.7 km E of Hualien County(24.00N 121.75E, i.e. 13.7 km E of Hualien County)
406   ,2024-05-30 05:42:27,121.622,24.0862,4.2,8.8,24.09N 121.62E, i.e. 10.5 km N of Hualien County(24.09N 121.62E, i.e. 10.5 km N of Hualien County)
405   ,2024-05-29 10:41:51,121.642,24.1662,4.7,32.8,24.17N 121.64E, i.e. 19.5 km N of Hualien County(24.17N 121.64E, i.e. 19.5 km N of Hualien County)
Small area,2024-05-29 07:40:12,121.421,23.8313,4,20.4,23.83N 121.42E, i.e. 26.9 km SW of Hualien County(23.83N 121.42E, i.e. 26.9 km SW of Hualien County)
Small area,2024-05-29 07:40:03,121.795,24.3343,3.5,20.5,24.33N 121.79E, i.e. 44.1 km S of Yilan County(24.33N 121.79E, i.e. 44.1 km S of Yilan County)
Small area,2024-05-29 03:41:51,121.829,24.405,3.9,11.2,24.41N 121.83E, i.e. 36.7 km SSE of Yilan County(24.41N 121.83E, i.e. 36.7 km SSE of Yilan County)
Small area,2024-05-28 23:16:22,121.959,24.4905,3.7,13.6,24.49N 121.96E, i.e. 33.2 km SE of Yilan County(24.49N 121.96E, i.e. 33.2 km SE of Yilan County)
Small area,2024-05-28 20:14:50,121.615,23.8733,4.2,29.1,23.87N 121.61E, i.e. 13.0 km S of Hualien County(23.87N 121.61E, i.e. 13.0 km S of Hualien County)
Small area,2024-05-28 20:08:20,121.666,23.9667,3.7,37.6,23.97N 121.67E, i.e. 5.4 km ESE of Hualien County(23.97N 121.67E, i.e. 5.4 km ESE of Hualien County)
404   ,2024-05-28 19:05:22,121.618,23.9442,4.5,33.2,23.94N 121.62E, i.e. 5.2 km S of Hualien County(23.94N 121.62E, i.e. 5.2 km S of Hualien County)
Small area,2024-05-28 15:08:44,121.552,23.792,3.4,7.5,23.79N 121.55E, i.e. 23.1 km SSW of Hualien County(23.79N 121.55E, i.e. 23.1 km SSW of Hualien County)
403   ,2024-05-28 05:48:49,121.899,24.4772,4.6,26.9,24.48N 121.90E, i.e. 31.3 km SSE of Yilan County(24.48N 121.90E, i.e. 31.3 km SSE of Yilan County)
Small area,2024-05-27 09:22:49,121.689,24.2628,3.5,29.4,24.26N 121.69E, i.e. 30.9 km NNE of Hualien County(24.26N 121.69E, i.e. 30.9 km NNE of Hualien County)
Small area,2024-05-27 01:08:55,121.488,23.918,3.7,16,23.92N 121.49E, i.e. 15.7 km WSW of Hualien County(23.92N 121.49E, i.e. 15.7 km WSW of Hualien County)
Small area,2024-05-26 21:55:23,121.704,24.1323,3.4,25.8,24.13N 121.70E, i.e. 17.8 km NNE of Hualien County(24.13N 121.70E, i.e. 17.8 km NNE of Hualien County)
Small area,2024-05-26 16:27:39,121.65,24.18,4.2,33.5,24.18N 121.65E, i.e. 21.2 km N of Hualien County(24.18N 121.65E, i.e. 21.2 km N of Hualien County)
Small area,2024-05-26 11:54:45,121.721,24.1818,3.4,20,24.18N 121.72E, i.e. 23.5 km NNE of Hualien County(24.18N 121.72E, i.e. 23.5 km NNE of Hualien County)
Small area,2024-05-26 07:04:55,121.376,24.4333,3.3,7.9,24.43N 121.38E, i.e. 51.2 km SW of Yilan County(24.43N 121.38E, i.e. 51.2 km SW of Yilan County)
Small area,2024-05-26 05:09:10,121.296,22.9337,4.5,37.3,22.93N 121.30E, i.e. 24.8 km NE of Taitung County(22.93N 121.30E, i.e. 24.8 km NE of Taitung County)
Small area,2024-05-25 15:30:19,121.449,22.44,4.3,19.4,22.44N 121.45E, i.e. 46.4 km SE of Taitung County(22.44N 121.45E, i.e. 46.4 km SE of Taitung County)
Small area,2024-05-25 13:30:49,121.68,24.2525,4,27.5,24.25N 121.68E, i.e. 29.6 km NNE of Hualien County(24.25N 121.68E, i.e. 29.6 km NNE of Hualien County)
Small area,2024-05-25 12:14:53,121.726,24.186,3.7,19.7,24.19N 121.73E, i.e. 24.1 km NNE of Hualien County(24.19N 121.73E, i.e. 24.1 km NNE of Hualien County)
402   ,2024-05-25 11:48:43,121.719,24.182,4.2,21,24.18N 121.72E, i.e. 23.4 km NNE of Hualien County(24.18N 121.72E, i.e. 23.4 km NNE of Hualien County)
401   ,2024-05-25 01:07:10,121.74,24.1953,5,23.5,24.20N 121.74E, i.e. 25.7 km NNE of Hualien County(24.20N 121.74E, i.e. 25.7 km NNE of Hualien County)
400   ,2024-05-25 01:06:38,121.742,24.187,4.6,21.6,24.19N 121.74E, i.e. 25.0 km NNE of Hualien County(24.19N 121.74E, i.e. 25.0 km NNE of Hualien County)
Small area,2024-05-24 21:39:00,121.638,23.9433,4.1,30.5,23.94N 121.64E, i.e. 5.6 km SSE of Hualien County(23.94N 121.64E, i.e. 5.6 km SSE of Hualien County)
399   ,2024-05-24 11:52:37,121.651,23.8457,4.4,1.1,23.85N 121.65E, i.e. 16.4 km SSE of Hualien County(23.85N 121.65E, i.e. 16.4 km SSE of Hualien County)
Small area,2024-05-24 11:10:04,121.949,24.3023,4.1,22.3,24.30N 121.95E, i.e. 48.0 km NE of Hualien County(24.30N 121.95E, i.e. 48.0 km NE of Hualien County)
Small area,2024-05-24 10:42:56,121.652,24.002,3.6,33.7,24.00N 121.65E, i.e. 3.5 km ENE of Hualien County(24.00N 121.65E, i.e. 3.5 km ENE of Hualien County)
Small area,2024-05-24 07:27:10,121.471,23.9533,3.4,17.9,23.95N 121.47E, i.e. 15.8 km WSW of Hualien County(23.95N 121.47E, i.e. 15.8 km WSW of Hualien County)
Small area,2024-05-24 06:26:44,121.989,24.4892,4,15.6,24.49N 121.99E, i.e. 35.2 km SE of Yilan County(24.49N 121.99E, i.e. 35.2 km SE of Yilan County)
398   ,2024-05-24 03:29:57,121.563,24.025,4.1,7.5,24.03N 121.56E, i.e. 6.9 km WNW of Hualien County(24.03N 121.56E, i.e. 6.9 km WNW of Hualien County)
Small area,2024-05-23 22:45:52,121.306,22.8323,4.1,38.7,22.83N 121.31E, i.e. 18.1 km ENE of Taitung County(22.83N 121.31E, i.e. 18.1 km ENE of Taitung County)
397   ,2024-05-23 21:59:28,121.302,23.9342,4.3,5.8,23.93N 121.30E, i.e. 33.0 km W of Hualien County(23.93N 121.30E, i.e. 33.0 km W of Hualien County)
Small area,2024-05-23 00:00:53,121.54,23.8067,4,5.2,23.81N 121.54E, i.e. 22.0 km SSW of Hualien County(23.81N 121.54E, i.e. 22.0 km SSW of Hualien County)
Small area,2024-05-22 16:06:02,121.727,23.8548,4.1,5.3,23.85N 121.73E, i.e. 18.6 km SE of Hualien County(23.85N 121.73E, i.e. 18.6 km SE of Hualien County)
396   ,2024-05-22 16:00:40,121.739,23.8287,5.3,5.9,23.83N 121.74E, i.e. 21.7 km SE of Hualien County(23.83N 121.74E, i.e. 21.7 km SE of Hualien County)
Small area,2024-05-22 12:27:02,121.861,24.3412,3.3,9.3,24.34N 121.86E, i.e. 44.3 km SSE of Yilan County(24.34N 121.86E, i.e. 44.3 km SSE of Yilan County)
Small area,2024-05-22 11:09:03,122.568,24.4098,4.8,53.3,24.41N 122.57E, i.e. 89.0 km ESE of Yilan County(24.41N 122.57E, i.e. 89.0 km ESE of Yilan County)
Small area,2024-05-22 09:14:28,121.923,24.4513,3.4,14.4,24.45N 121.92E, i.e. 34.9 km SSE of Yilan County(24.45N 121.92E, i.e. 34.9 km SSE of Yilan County)
Small area,2024-05-21 17:16:48,122.64,24.5838,4.7,104.2,24.58N 122.64E, i.e. 90.3 km E of Yilan County(24.58N 122.64E, i.e. 90.3 km E of Yilan County)
Small area,2024-05-20 18:50:51,121.823,24.1578,3.6,23.6,24.16N 121.82E, i.e. 27.7 km NE of Hualien County(24.16N 121.82E, i.e. 27.7 km NE of Hualien County)
Small area,2024-05-20 17:22:31,121.834,24.1385,4.2,24,24.14N 121.83E, i.e. 27.2 km NE of Hualien County(24.14N 121.83E, i.e. 27.2 km NE of Hualien County)
Small area,2024-05-20 17:20:15,121.842,24.1557,4.5,22.7,24.16N 121.84E, i.e. 29.0 km NE of Hualien County(24.16N 121.84E, i.e. 29.0 km NE of Hualien County)
Small area,2024-05-20 15:56:03,122.341,24.0422,4.8,24.3,24.04N 122.34E, i.e. 73.5 km E of Hualien County(24.04N 122.34E, i.e. 73.5 km E of Hualien County)
Small area,2024-05-20 06:19:16,121.694,24.0405,3.3,21.7,24.04N 121.69E, i.e. 9.3 km NE of Hualien County(24.04N 121.69E, i.e. 9.3 km NE of Hualien County)
395   ,2024-05-20 04:35:41,120.514,23.2362,4.3,17,23.24N 120.51E, i.e. 43.2 km NE of Tainan City(23.24N 120.51E, i.e. 43.2 km NE of Tainan City)
394   ,2024-05-19 21:52:06,121.761,24.0668,4.4,27.9,24.07N 121.76E, i.e. 16.6 km ENE of Hualien County(24.07N 121.76E, i.e. 16.6 km ENE of Hualien County)
Small area,2024-05-19 19:22:31,121.82,24.2835,3.9,8.5,24.28N 121.82E, i.e. 38.2 km NE of Hualien County(24.28N 121.82E, i.e. 38.2 km NE of Hualien County)
Small area,2024-05-19 17:50:24,121.732,24.178,3.3,13.4,24.18N 121.73E, i.e. 23.6 km NNE of Hualien County(24.18N 121.73E, i.e. 23.6 km NNE of Hualien County)
Small area,2024-05-19 16:23:52,121.437,23.6842,3.6,6.8,23.68N 121.44E, i.e. 38.8 km SSW of Hualien County(23.68N 121.44E, i.e. 38.8 km SSW of Hualien County)
Small area,2024-05-19 16:18:09,121.71,24.0627,3.6,30.8,24.06N 121.71E, i.e. 12.1 km NE of Hualien County(24.06N 121.71E, i.e. 12.1 km NE of Hualien County)
393   ,2024-05-19 10:55:21,121.769,24.1902,4.3,19.9,24.19N 121.77E, i.e. 26.8 km NE of Hualien County(24.19N 121.77E, i.e. 26.8 km NE of Hualien County)
Small area,2024-05-19 02:00:29,121.856,23.7955,4.5,12.5,23.80N 121.86E, i.e. 32.3 km SE of Hualien County(23.80N 121.86E, i.e. 32.3 km SE of Hualien County)
Small area,2024-05-18 18:21:36,121.621,23.8287,3.9,36.2,23.83N 121.62E, i.e. 18.0 km S of Hualien County(23.83N 121.62E, i.e. 18.0 km S of Hualien County)
Small area,2024-05-18 15:45:11,121.484,23.9095,3.4,16.8,23.91N 121.48E, i.e. 16.5 km WSW of Hualien County(23.91N 121.48E, i.e. 16.5 km WSW of Hualien County)
Small area,2024-05-18 06:33:06,121.579,23.9373,3.1,9.5,23.94N 121.58E, i.e. 7.3 km SW of Hualien County(23.94N 121.58E, i.e. 7.3 km SW of Hualien County)
Small area,2024-05-18 05:00:48,121.56,23.742,3.3,6.9,23.74N 121.56E, i.e. 28.2 km SSW of Hualien County(23.74N 121.56E, i.e. 28.2 km SSW of Hualien County)
Small area,2024-05-17 16:21:48,121.568,23.8247,3.5,7.2,23.82N 121.57E, i.e. 19.2 km SSW of Hualien County(23.82N 121.57E, i.e. 19.2 km SSW of Hualien County)
Small area,2024-05-17 15:04:13,121.59,23.8947,3,9.7,23.89N 121.59E, i.e. 11.1 km SSW of Hualien County(23.89N 121.59E, i.e. 11.1 km SSW of Hualien County)
Small area,2024-05-17 13:30:49,121.655,23.9323,3.8,40.4,23.93N 121.65E, i.e. 7.4 km SSE of Hualien County(23.93N 121.65E, i.e. 7.4 km SSE of Hualien County)
Small area,2024-05-17 11:49:55,121.643,23.92,4.8,36.5,23.92N 121.64E, i.e. 8.2 km SSE of Hualien County(23.92N 121.64E, i.e. 8.2 km SSE of Hualien County)
Small area,2024-05-17 10:45:51,121.643,24.0293,3.7,34.5,24.03N 121.64E, i.e. 4.8 km NNE of Hualien County(24.03N 121.64E, i.e. 4.8 km NNE of Hualien County)
Small area,2024-05-17 03:57:42,121.731,24.0242,3.6,26.6,24.02N 121.73E, i.e. 11.8 km ENE of Hualien County(24.02N 121.73E, i.e. 11.8 km ENE of Hualien County)
Small area,2024-05-16 22:52:21,121.657,24.2142,3.7,28.2,24.21N 121.66E, i.e. 25.0 km N of Hualien County(24.21N 121.66E, i.e. 25.0 km N of Hualien County)
392   ,2024-05-16 22:46:24,121.662,24.209,4.5,29.6,24.21N 121.66E, i.e. 24.5 km N of Hualien County(24.21N 121.66E, i.e. 24.5 km N of Hualien County)
Small area,2024-05-16 11:11:13,121.746,23.8157,3.8,17.8,23.82N 121.75E, i.e. 23.3 km SE of Hualien County(23.82N 121.75E, i.e. 23.3 km SE of Hualien County)
Small area,2024-05-15 02:41:59,121.326,23.9172,3.4,4.9,23.92N 121.33E, i.e. 31.1 km WSW of Hualien County(23.92N 121.33E, i.e. 31.1 km WSW of Hualien County)
Small area,2024-05-14 21:25:11,121.533,23.7653,3.4,7.1,23.77N 121.53E, i.e. 26.5 km SSW of Hualien County(23.77N 121.53E, i.e. 26.5 km SSW of Hualien County)
Small area,2024-05-14 19:18:41,121.686,24.174,3.7,34.7,24.17N 121.69E, i.e. 21.3 km NNE of Hualien County(24.17N 121.69E, i.e. 21.3 km NNE of Hualien County)
391   ,2024-05-14 10:34:15,121.693,24.0385,4.8,22.5,24.04N 121.69E, i.e. 9.1 km ENE of Hualien County(24.04N 121.69E, i.e. 9.1 km ENE of Hualien County)
Small area,2024-05-14 05:37:25,121.697,24.2492,3.2,12.8,24.25N 121.70E, i.e. 29.6 km NNE of Hualien County(24.25N 121.70E, i.e. 29.6 km NNE of Hualien County)
Small area,2024-05-13 23:55:43,121.664,24.1145,4.1,28.5,24.11N 121.66E, i.e. 14.4 km NNE of Hualien County(24.11N 121.66E, i.e. 14.4 km NNE of Hualien County)
Small area,2024-05-13 22:10:53,121.667,23.8918,4,45.1,23.89N 121.67E, i.e. 12.0 km SSE of Hualien County(23.89N 121.67E, i.e. 12.0 km SSE of Hualien County)
390   ,2024-05-13 15:57:27,120.964,23.8207,4.1,21.1,23.82N 120.96E, i.e. 29.3 km ESE of Nantou County(23.82N 120.96E, i.e. 29.3 km ESE of Nantou County)
Small area,2024-05-13 14:06:07,121.869,24.2882,3.3,11.3,24.29N 121.87E, i.e. 41.5 km NE of Hualien County(24.29N 121.87E, i.e. 41.5 km NE of Hualien County)
Small area,2024-05-12 15:14:29,121.262,23.4145,3.5,7.4,23.41N 121.26E, i.e. 73.5 km SSW of Hualien County(23.41N 121.26E, i.e. 73.5 km SSW of Hualien County)
